id,facility_code,facility_name,is_void,sub_county_id,facility_subcounty
2788,10001,Abel Migwi Johana Laboratory,false,149,10001_149
22724,10001,Abel Migwi Johana Laboratory,false,149,10001_149
7275,10002,Aberdare Medical & Surgical Clinic,false,144,10002_144
11585,10003,Aberdare Health Services,false,154,10003_154
12176,10004,Abrahams Clinic,false,150,10004_150
2741,10006,Afya Link Ngurubani Clinic,false,147,10006_147
18947,10006,Afya Link Ngurubani Clinic,false,147,10006_147
2778,10007,Afya Bora Medical Clinic (Muchagara),false,148,10007_148
23680,10007,Afya Bora Medical Clinic (Muchagara),false,148,10007_148
7579,10008,Afya Bora Medical Clinic (Nyeri South),false,146,10008_146
23609,10008,Afya Bora Medical Clinic (Nyeri South),false,146,10008_146
7582,10009,Afya Health Services,false,145,10009_145
23629,10009,Afya Health Services,false,145,10009_145
5707,10010,Afya Medical Clinic (Muranga North),false,151,10010_151
9969,10010,Afya Medical Clinic (Muranga North),false,151,10010_151
24057,10010,Afya Medical Clinic (Muranga North),false,151,10010_151
22183,10011,Afya Bora Clinic (Mwea),false,147,10011_147
7585,10013,Afya Medical Clinic (Nyeri North),false,143,10013_143
23619,10013,Afya Medical Clinic (Nyeri North),false,143,10013_143
7700,10014,Afya Medical Clinic (Nyeri South),false,145,10014_145
23790,10014,Afya Medical Clinic (Nyeri South),false,145,10014_145
2344,10015,Afya Medical Clinic (Juja),false,160,10015_160
10089,10015,Afya Medical Clinic (Juja),false,160,10015_160
23677,10015,Afya Medical Clinic (Juja),false,160,10015_160
11597,10016,Agape Medical Services,false,154,10016_154
7684,10017,Aguthi Dispensary,false,141,10017_141
10222,10017,Aguthi Dispensary,false,141,10017_141
23211,10017,Aguthi Dispensary,false,141,10017_141
12569,10018,Ahadi Maternity Services,false,169,10018_169
22387,10018,Ahadi Health and Maternity Services,false,169,10018_169
2244,10019,Mangu (Aip) Dispensary,false,159,10019_159
10092,10019,Mangu (Aip) Dispensary,false,159,10019_159
23670,10019,Mangu (Aip) Dispensary,false,159,10019_159
5582,10020,Gituamba (AIPCA) Dispensary,false,157,10020_157
10164,10020,Gituamba (AIPCA) Dispensary,false,157,10020_157
23356,10020,Gituamba (AIPCA) Dispensary,false,157,10020_157
13164,10021,All Day Medical Clinic,false,152,10021_152
22815,10021,All Day Medical Clinic,false,152,10021_152
7532,10022,Alpha Family Health Care,false,141,10022_141
23751,10022,Alpha Family Health Care,false,141,10022_141
2310,10023,Ama (Africa Muslim Agency) Clinic,false,161,10023_161
10883,10023,Ama (Africa Muslim Agency) Clinic,false,161,10023_161
20281,10023,Ama (Africa Muslim Agency) Clinic,false,161,10023_161
7629,10027,Amboni Dispensary,false,142,10027_142
23139,10027,Amboni Dispensary,false,142,10027_142
13241,10028,Amos Wanjohi Clinic,false,150,10028_150
2362,10029,Anmer Dispensary,false,164,10029_164
21271,10029,Anmer Dispensary,false,164,10029_164
12875,10031,Annex Laboratory,false,211,10031_211
22615,10031,Annex Laboratory,false,211,10031_211
5708,10032,Annex Medical Clinic (Muranga North),false,152,10032_152
9970,10032,Annex Medical Clinic (Muranga North),false,152,10032_152
24055,10032,Annex Medical Clinic (Muranga North),false,152,10032_152
2393,10033,Annunciation Catholic Dispensary,false,162,10033_162
13800,10033,Annunciation Catholic Dispensary,false,162,10033_162
18896,10033,Annunciation Catholic Dispensary,false,162,10033_162
13109,10034,Antony Njogu Clinic,false,211,10034_211
2376,10035,Rescue Centre (Thika),false,161,10035_161
13732,10035,Rescue Centre (Thika),false,161,10035_161
19209,10035,Rescue Centre (Thika),false,161,10035_161
2417,10036,Arcade Medical Clinic (Ruiru),false,162,10036_162
10049,10036,Arcade Medical Clinic (Ruiru),false,162,10036_162
23905,10036,Arcade Medical Clinic (Ruiru),false,162,10036_162
7571,10037,Arcade Medical Clinic,false,143,10037_143
23641,10037,Arcade Medical Clinic,false,143,10037_143
2246,10038,Asantey Clinic,false,161,10038_161
23582,10038,Asantey Clinic,false,161,10038_161
13265,10039,ASPE Medical Clinic,false,163,10039_163
22883,10039,ASPE Medical Clinic,false,163,10039_163
5594,10040,Assumption of Mary Dispensary,false,157,10040_157
23801,10040,Assumption of Mary Dispensary,false,157,10040_157
2302,10041,Athi Dispensary,false,160,10041_160
19576,10041,Athi Dispensary,false,160,10041_160
7277,10042,Atlas Medical Clinic,false,144,10042_144
7352,10043,Baari Health Centre,false,140,10043_140
10194,10043,Baari Health Centre,false,140,10043_140
23254,10043,Baari Health Centre,false,140,10043_140
7403,10044,Bamboo Health Centre,false,136,10044_136
19420,10044,Bamboo Health Centre,false,136,10044_136
5574,10047,Baraka Medical Clinic (Muranga North),false,153,10047_153
10070,10047,Baraka Medical Clinic (Muranga North),false,153,10047_153
23703,10047,Baraka Medical Clinic (Muranga North),false,153,10047_153
2817,10048,Baricho Catholic Health Centre,false,149,10048_149
20285,10048,Baricho Catholic Health Centre,false,149,10048_149
2812,10049,Baricho Health Centre,false,149,10049_149
20480,10049,Baricho Health Centre,false,149,10049_149
11878,10050,Bathi Faith (ACK) Medical Clinic,false,169,10050_169
11961,10051,Batian Eye Clinic,false,211,10051_211
12027,10052,Batian Laboratory Services,false,211,10052_211
21999,10052,Batian Laboratory Services,false,211,10052_211
2736,10054,Bcj Medical Centre,false,147,10054_147
23856,10054,Bcj Medical Centre,false,147,10054_147
7636,10055,Bellevue Health Centre,false,142,10055_142
20356,10055,Bellevue Health Centre,false,142,10055_142
2759,10057,Bens Labs,false,148,10057_148
2361,10058,Beta Care Nursing Home,false,163,10058_163
11617,10058,Beta Care Nursing Home,false,163,10058_163
21112,10058,Beta Care Nursing Home,false,163,10058_163
2712,10059,Bethany Clinic,false,150,10059_150
23616,10059,Bethany Clinic,false,150,10059_150
7562,10060,Bethany Family Clinic,false,142,10060_142
23698,10060,Bethany Family Clinic,false,142,10060_142
2337,10061,Bethel Medical Clinic,false,162,10061_162
9975,10061,Bethel Medical Clinic,false,162,10061_162
24043,10061,Bethel Medical Clinic,false,162,10061_162
12654,10063,Bethsaida (PCEA) Dispensary (Nyeri),false,141,10063_141
12791,10064,Bethsaida Clinic (Kirinyaga-Gathiga),false,166,10064_166
13334,10066,Bethsaida Medical Clinic (Thika),false,161,10066_161
2245,10067,Bethsaida Medical Clinic (Gatundu),false,158,10067_158
23626,10067,Bethsaida Medical Clinic (Gatundu),false,158,10067_158
13311,10068,Better Medical Clinic (wanjohi),false,137,10068_137
22098,10070,Bigem Clinic,false,147,10070_147
2273,10072,Blessed Louis Palazzolo Health Centre,false,165,10072_165
12840,10072,Blessed Louis Palazzolo Health Centre,false,165,10072_165
22147,10072,Blessed Louis Palazzolo Health Centre,false,165,10072_165
2713,10073,Blue Line Clinic,false,150,10073_150
23604,10073,Blue Line Clinic,false,150,10073_150
2437,10074,Boore Clinic,false,161,10074_161
23755,10074,Boore Clinic,false,161,10074_161
11618,10075,Breeze Hospital,false,155,10075_155
7643,10076,Burguret Dispensary,false,142,10076_142
19475,10076,Burguret Dispensary,false,142,10076_142
2792,10077,By Faith Clinic (Kirinyaga),false,147,10077_147
2793,10079,By Grace Medical (Kutus) Clinic,false,147,10079_147
23753,10079,By Grace Medical (Kutus) Clinic,false,147,10079_147
2402,10080,Canan Medical Clinic,false,161,10080_161
24060,10080,Canan Medical Clinic,false,161,10080_161
2268,10081,Caritas Mariah,false,161,10081_161
10387,10081,Caritas Mariah,false,161,10081_161
23800,10081,Caritas Mariah,false,161,10081_161
2353,10083,Central Memorial Hospital,false,161,10083_161
11281,10083,Central Memorial Hospital,false,161,10083_161
20778,10083,Central Memorial Hospital,false,161,10083_161
12069,10084,CFWs Shops,false,150,10084_150
7570,10086,Chalo Medical Clinic,false,146,10086_146
23640,10086,Chalo Medical Clinic,false,146,10086_146
2254,10088,Caritas community hospital (Township),false,161,10088_161
23558,10088,Caritas community hospital (Township),false,161,10088_161
3661,10089,Charity Medical Centre,false,210,10089_210
3764,10089,Charity Medical Centre,false,210,10089_210
13577,10089,Charity Medical Centre,false,210,10089_210
19036,10089,Charity Medical Centre,false,210,10089_210
2241,10090,Charity Medical Clinic,false,159,10090_159
10076,10090,Charity Medical Clinic,false,159,10090_159
23695,10090,Charity Medical Clinic,false,159,10090_159
2748,10091,Chemat For Health Solutions Kamweti,false,148,10091_148
2738,10092,Christian Community Services Clinic Base Kerugoya,false,150,10092_150
23326,10092,Christian Community Services Clinic Base Kerugoya,false,150,10092_150
2829,10093,Christian Community Services Wang'uru Dispensary,false,147,10093_147
23878,10093,Christian Community Services Wang'uru Dispensary,false,147,10093_147
2823,10096,Ciagini  Health Centre,false,147,10096_147
19633,10096,Ciagini Health Centre,false,147,10096_147
2365,10097,Cianda Dispensary,false,165,10097_165
11765,10097,Cianda Dispensary,false,165,10097_165
21279,10097,Cianda Dispensary,false,165,10097_165
2707,10098,Complex Medical Centre,false,147,10098_147
23549,10098,Complex Medical Centre,false,147,10098_147
2739,10099,Comrade Nurising Home,false,147,10099_147
24219,10099,Comrade Nurising Home,false,147,10099_147
7678,10100,Consolata Mission Hospital (Mathari),false,146,10100_146
20670,10100,Consolata Mission Hospital (Mathari),false,146,10100_146
2332,10101,Coffee Research Staff Dispensary,false,162,10101_162
